Age,EmployeeNumber,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PercentSalaryHike,Attrition Flag,Age Group,Income Group,Tenure Group,Salary Hike Group
34,18,No,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,3,3,3,2,2,1,2,11,0,Mid,Low,Early,Low
28,19,Yes,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,2,6,3,4,2,0,3,14,1,Young,Low,Mid,Medium
29,20,No,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,3,10,3,10,9,8,8,11,0,Young,Medium,Long,Low
32,21,No,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,4,7,2,6,2,0,5,12,0,Mid,Low,Mid,Low
22,22,No,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,2,1,2,1,0,0,0,13,0,Young,Low,Early,Medium
53,23,No,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,No,3,31,3,25,8,3,7,16,0,Senior,High,Long,Medium
38,24,No,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,3,6,3,3,2,1,2,11,0,Mid,Low,Mid,Low
24,26,No,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,4,5,2,4,2,1,3,18,0,Young,Low,Mid,High
36,27,Yes,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,2,10,3,5,3,0,3,23,1,Mid,Low,Mid,High
34,28,No,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,3,13,3,12,6,2,11,11,0,Mid,High,Long,Low
21,30,No,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,4,0,3,0,0,0,0,14,0,Young,Low,Early,Medium
34,31,Yes,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,3,8,3,4,2,1,3,11,1,Mid,Low,Mid,Low
53,32,No,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,4,26,2,14,13,4,8,11,0,Senior,High,Long,Low
32,33,Yes,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,2,10,3,10,2,6,7,22,1,Mid,Low,Long,High
42,35,No,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,4,10,3,9,7,4,2,11,0,Mid,Medium,Long,Low
44,36,No,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,4,24,3,22,6,5,17,14,0,Mid,High,Long,Medium
46,38,No,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,4,22,2,2,2,2,1,12,0,Senior,High,Early,Low
33,39,No,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,4,7,3,1,1,0,0,11,0,Mid,Low,Early,Low
44,40,No,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,4,9,4,4,2,1,3,13,0,Mid,Medium,Mid,Medium
30,41,No,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,1,10,3,10,0,1,8,13,0,Mid,Low,Long,Medium
39,42,Yes,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,3,19,4,1,0,0,0,14,1,Mid,Low,Early,Medium
24,45,Yes,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,1,6,2,2,0,2,0,16,1,Young,Low,Early,Medium
43,46,No,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,4,6,2,5,3,1,4,12,0,Mid,Low,Mid,Low
50,47,Yes,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,3,3,3,3,2,0,2,14,1,Senior,Low,Mid,Medium
35,49,No,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,1,2,3,2,2,2,2,13,0,Mid,Low,Early,Medium
36,51,No,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,4,6,4,1,1,0,0,14,0,Mid,Low,Early,Medium
33,52,No,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,No,1,10,3,5,3,1,3,19,0,Mid,Medium,Mid,High
35,53,No,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,3,1,3,1,0,0,0,12,0,Mid,Low,Early,Low
27,54,No,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,4,1,3,1,0,0,0,13,0,Young,Low,Early,Medium
26,55,Yes,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,3,1,2,1,0,0,1,12,1,Young,Low,Early,Low
27,56,No,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,No,4,9,3,9,8,1,7,15,0,Young,Medium,Long,Medium
30,57,No,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,4,12,3,12,8,3,7,23,0,Mid,Low,Long,High
41,58,Yes,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,4,23,3,22,15,15,8,12,1,Mid,High,Long,Low
34,60,No,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,No,3,10,3,9,5,8,7,20,0,Mid,Low,Long,High
37,61,No,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,1,8,3,1,0,0,0,21,0,Mid,Low,Early,High
46,62,No,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,3,14,3,9,6,0,8,21,0,Senior,Medium,Long,High
35,63,No,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,4,1,3,1,0,0,1,19,0,Mid,Low,Early,High
48,64,Yes,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,4,23,3,1,0,0,0,13,1,Senior,Medium,Early,Medium
28,65,Yes,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,3,2,2,2,2,2,2,13,1,Young,Low,Early,Medium
44,68,No,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,3,9,2,4,3,1,3,21,0,Mid,Medium,Mid,High
35,70,No,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,3,10,3,4,0,2,3,13,0,Mid,Medium,Mid,Medium
26,72,No,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,3,5,2,2,2,0,0,19,0,Young,Low,Early,High
33,73,No,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,3,15,3,15,14,8,12,12,0,Mid,High,Long,Low
35,74,No,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,4,9,2,9,8,1,8,22,0,Mid,Medium,Long,High
35,75,No,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,3,4,3,2,2,2,2,15,0,Mid,Low,Early,Medium
31,76,No,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,4,10,2,7,7,1,7,22,0,Mid,Medium,Long,High
37,77,No,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,3,7,4,7,5,0,7,18,0,Mid,Medium,Long,High
32,78,No,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,2,9,3,9,8,7,8,22,0,Mid,Medium,Long,High
38,79,No,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,4,10,3,10,3,9,9,11,0,Mid,Low,Long,Low
50,80,No,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,4,29,2,27,3,13,8,12,0,Senior,High,Long,Low
59,81,No,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,4,28,2,21,16,7,9,11,0,Senior,Medium,Long,Low
36,83,No,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,2,17,3,17,14,12,8,13,0,Mid,High,Long,Medium
55,84,No,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,3,21,3,5,0,0,2,14,0,Senior,High,Mid,Medium
36,85,No,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,3,6,3,6,5,0,3,13,0,Mid,Medium,Mid,Medium
45,86,No,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,3,25,3,1,0,0,0,17,0,Senior,Medium,Early,Medium
35,88,No,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,4,5,2,3,2,1,2,13,0,Mid,Low,Mid,Medium
36,90,Yes,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,1,2,2,1,0,0,0,17,1,Mid,Low,Early,Medium
59,91,No,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,4,20,2,4,3,1,3,11,0,Senior,Medium,Mid,Low
29,94,No,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,4,6,3,5,4,0,4,23,0,Young,Low,Mid,High
31,95,No,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,2,1,3,1,1,1,0,17,0,Mid,Low,Early,Medium
32,96,No,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,2,10,3,10,4,0,9,17,0,Mid,Medium,Long,Medium
36,97,No,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,2,5,3,1,0,0,0,12,0,Mid,Low,Early,Low
31,98,No,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,4,11,3,11,7,1,8,23,0,Mid,Low,Long,High
35,100,No,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,No,2,16,3,15,13,2,8,14,0,Mid,Low,Long,Medium
45,101,No,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,2,17,4,0,0,0,0,14,0,Senior,High,Early,Medium
37,102,No,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,1,16,4,5,2,0,2,13,0,Mid,High,Mid,Medium
46,103,No,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,4,16,3,4,2,0,2,22,0,Senior,Medium,Mid,High
30,104,No,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,3,10,2,10,8,3,0,12,0,Mid,Medium,Long,Low
35,105,No,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,1,6,3,6,4,0,4,18,0,Mid,Low,Mid,High
55,106,No,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,No,4,24,3,1,0,1,0,14,0,Senior,High,Early,Medium
38,107,No,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,4,17,3,13,11,1,9,12,0,Mid,Medium,Long,Low
34,110,No,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,3,5,3,5,2,1,3,15,0,Mid,Low,Mid,Medium
56,112,No,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,1,37,2,6,4,0,2,11,0,Senior,Medium,Mid,Low
23,113,No,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,3,3,3,0,0,0,0,13,0,Young,Low,Early,Medium
51,116,No,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,2,10,3,4,2,0,3,23,0,Senior,Low,Mid,High
30,117,No,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,1,11,3,11,10,10,8,19,0,Mid,Low,Long,High
46,118,Yes,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,1,No,4,9,3,9,8,4,7,16,1,Senior,Medium,Long,Medium
40,119,No,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,4,22,2,22,3,11,11,22,0,Mid,High,Long,High
51,120,No,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,4,11,1,10,7,1,0,22,0,Senior,Medium,Long,High
30,121,No,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,2,11,2,11,8,2,7,12,0,Mid,Medium,Long,Low
46,124,No,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,3,21,2,10,9,9,5,13,0,Senior,High,Long,Medium
32,125,No,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,No,1,12,3,11,8,5,7,16,0,Mid,Medium,Long,Medium
54,126,No,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,9,No,1,16,1,4,3,0,3,12,0,Senior,High,Mid,Low
24,128,No,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,0,No,1,4,2,3,2,0,2,21,0,Young,Low,Mid,High
28,129,No,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,No,2,5,4,5,4,0,4,15,0,Young,Low,Mid,Medium
58,131,No,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,0,No,3,38,2,37,10,1,8,13,0,Senior,High,Long,Medium
44,132,No,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,3,17,4,3,2,1,2,12,0,Mid,Low,Mid,Low
37,133,Yes,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,4,7,3,3,2,0,2,22,1,Mid,Low,Mid,High
32,134,No,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,1,No,4,1,3,1,0,0,0,13,0,Mid,Low,Early,Medium
20,137,Yes,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,2,1,3,1,0,1,0,18,1,Young,Low,Early,High
34,138,No,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,1,No,3,16,3,16,13,2,10,14,0,Mid,Low,Long,Medium
37,139,No,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,4,17,4,1,0,0,0,14,0,Mid,Medium,Early,Medium
59,140,No,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,9,No,4,30,3,3,2,2,2,21,0,Senior,High,Mid,High
50,141,No,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,3,Yes,1,28,2,8,3,0,7,19,0,Senior,High,Long,High
25,142,Yes,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,1,Yes,4,6,3,6,4,0,3,11,1,Young,Medium,Mid,Low
25,143,No,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,1,No,3,2,3,2,2,2,1,11,0,Young,Low,Early,Low
22,144,No,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,1,No,3,1,3,0,0,0,0,15,0,Young,Low,Early,Medium
51,145,No,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,3,No,3,23,2,13,12,12,8,20,0,Senior,Medium,Long,High
34,147,Yes,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Yes,4,9,3,9,7,0,6,24,1,Mid,Medium,Long,High
54,148,No,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,2,Yes,3,23,3,5,3,4,4,12,0,Senior,High,Mid,Low
24,150,No,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,3,6,3,5,3,1,2,12,0,Young,Low,Mid,Low
34,151,No,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,6,No,3,12,3,1,0,0,0,15,0,Mid,Low,Early,Medium
37,152,No,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,2,No,1,12,3,5,3,1,3,12,0,Mid,Medium,Mid,Low
34,153,No,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,2,No,4,14,3,11,10,5,8,12,0,Mid,High,Long,Low
36,154,No,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,0,No,3,10,3,9,7,2,8,14,0,Mid,Medium,Long,Medium
36,155,No,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,5,No,1,7,3,1,0,0,0,22,0,Mid,Low,Early,High
43,158,No,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,1,Yes,4,25,4,25,12,4,12,12,0,Mid,High,Long,Low
30,159,No,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,1,No,3,10,2,10,7,0,9,25,0,Mid,Low,Long,High
33,160,No,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,0,No,1,8,4,7,7,0,7,13,0,Mid,Medium,Long,Medium
56,161,Yes,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,9,Yes,1,7,3,5,4,4,3,18,1,Senior,Low,Mid,High
51,162,No,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,7,No,3,23,3,20,18,15,15,13,0,Senior,High,Long,Medium
31,163,Yes,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,4,Yes,2,12,2,7,7,7,7,18,1,Mid,Medium,Long,High
26,164,No,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,1,No,3,5,2,5,4,4,3,19,0,Young,Low,Mid,High
58,165,Yes,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,1,No,4,40,2,40,10,15,6,12,1,Senior,High,Long,Low
19,167,Yes,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,1,Yes,4,0,2,0,0,0,0,19,1,Young,Low,Early,High
22,169,No,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,0,No,3,3,3,2,1,2,1,14,0,Young,Low,Early,Medium
49,170,No,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,1,No,3,16,2,15,11,5,11,14,0,Senior,Medium,Long,Medium
43,171,No,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,4,No,4,18,3,3,2,1,2,12,0,Mid,Low,Mid,Low
50,174,No,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,4,No,4,16,3,2,2,2,1,11,0,Senior,Medium,Early,Low
31,175,Yes,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,3,Yes,3,4,3,2,2,2,2,11,1,Mid,Low,Early,Low
41,176,No,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,3,Yes,3,12,3,9,7,0,7,13,0,Mid,Medium,Long,Medium
26,177,No,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,1,No,4,8,3,8,7,5,7,23,0,Young,Low,Long,High
36,178,No,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,No,4,7,3,3,2,0,1,20,0,Mid,Low,Mid,High
51,179,Yes,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,2,No,4,18,3,4,2,0,3,15,1,Senior,High,Mid,Medium
39,182,No,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,4,No,3,17,4,15,11,5,9,14,0,Mid,Medium,Long,Medium
25,183,No,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,2,No,4,6,3,2,2,2,2,18,0,Young,Medium,Early,High
30,184,No,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,0,Yes,4,12,1,11,9,4,7,19,0,Mid,Medium,Long,High
32,190,Yes,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,7,No,1,10,4,5,4,0,4,22,1,Mid,Low,Mid,High
45,192,No,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,5,No,2,9,2,6,5,0,3,13,0,Senior,Low,Mid,Medium
38,193,No,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,3,Yes,2,19,3,3,2,2,2,20,0,Mid,Low,Mid,High
30,194,No,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,1,No,3,5,2,5,4,0,4,14,0,Mid,Low,Mid,Medium
32,195,No,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,0,No,4,9,4,8,7,0,7,17,0,Mid,Low,Long,Medium
30,197,No,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,5,No,4,8,3,3,2,2,2,14,0,Mid,Low,Mid,Medium
30,198,No,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,0,No,4,6,3,5,3,1,2,13,0,Mid,Low,Mid,Medium
41,199,No,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,4,No,2,21,2,7,6,7,7,13,0,Mid,High,Long,Medium
41,200,No,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,2,No,4,7,3,5,0,1,4,21,0,Mid,Low,Mid,High
19,201,No,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,1,No,4,1,3,1,0,0,0,14,0,Young,Low,Early,Medium
40,202,No,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,1,No,1,20,3,20,7,2,13,11,0,Mid,Medium,Long,Low
35,204,No,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,1,No,1,10,3,10,8,0,6,13,0,Mid,Medium,Long,Medium
53,205,No,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,2,Yes,4,13,1,7,7,4,5,20,0,Senior,Low,Long,High
45,206,No,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,8,No,3,20,1,17,9,0,15,18,0,Senior,Low,Long,High
32,207,No,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,1,No,4,9,3,9,8,3,7,14,0,Mid,Medium,Long,Medium
29,208,No,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,1,No,1,10,3,10,7,0,9,13,0,Young,Low,Long,Medium
51,211,No,Research & Development,7,,Medical,2,Male,2,2,Manufacturing Director,3,Married,6132,2,No,3,10,3,1,0,0,0,17,0,Senior,Medium,Early,Medium
58,214,No,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,Married,3346,4,Yes,2,9,2,1,0,0,0,20,0,Senior,Low,Early,High
40,215,No,Sales,4,4,Marketing,3,Male,2,3,Sales Executive,4,Married,10855,7,No,1,15,2,12,11,2,11,11,0,Mid,High,Long,Low
34,216,No,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,6,No,4,6,3,4,3,1,2,18,0,Mid,Low,Mid,High
22,217,No,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,2323,1,No,1,2,3,2,2,2,2,24,0,Young,Low,Early,High
27,218,No,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,2024,6,No,4,6,1,2,2,2,2,18,0,Young,Low,Early,High
28,221,No,Research & Development,21,3,Medical,3,Male,3,1,Research Scientist,4,Married,2713,1,No,3,5,1,5,2,0,2,11,0,Young,Low,Mid,Low
57,223,No,Research & Development,24,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,9439,3,Yes,2,12,1,5,3,1,4,16,0,Senior,Medium,Mid,Medium
